DESCRIPTIONID	DESCRIPTIONSTATUS	CONCEPTID	TERM	INITIALCAPITALSTATUS	DESCRIPTIONTYPE	LANGUAGECODE
649064010	1	257733005	Activities (qualifier value)	0	3	en
649267010	0	257915005	Sampling - action (qualifier value)	0	3	en
649275016	8	257922002	Needle biopsy - action (qualifier value)	0	3	en
649418011	0	258049002	Protocols (qualifier value)	0	3	en
649622014	0	258232002	Cancer staging (tumor staging)	0	3	en
649754011	0	258349007	Grades (qualifier value)	0	3	en
649827017	0	258415003	Biopsy sample (specimen)	0	3	en
649829019	0	258417006	Bone tissue sample (specimen)	0	3	en
649857014	0	258442002	Fluid sample (specimen)	0	3	en
649866013	0	258450006	Cerebrospinal fluid sample (specimen)	0	3	en
649966014	0	258539005	Bone and joint sample (specimen)	0	3	en
649968010	0	258541006	Cardiovascular sample (specimen)	0	3	en
650014017	0	258582006	Blood clot sample (specimen)	1	3	en
650039014	0	258603007	Respiratory sample (specimen)	0	3	en
650040011	0	258604001	Upper respiratory sample (specimen)	0	3	en
651139017	0	259552008	Sulfonylurea and its derivatives (substance)	0	3	en
651141016	1	259553003	Methyl xanthine (substance)	0	3	en
651981012	0	260245000	Findings values (qualifier value)	0	3	en
652165016	0	260411009	Presence findings (qualifier value)	0	3	en
652272012	0	260507000	Access (attribute)	0	3	en
652379018	0	260603009	Via urogenital tract (qualifier value)	0	3	en
652472014	0	260686004	Method (attribute)	0	3	en
652564014	0	260769002	Materials (substance)	0	3	en
652578010	0	260782005	Joint component (attribute)	0	3	en
652584013	0	260787004	Physical object (physical object)	0	3	en
652677013	0	260870009	Priority (attribute)	0	3	en
652826016	1	261004008	Diagnostic - procedure intent (qualifier value)	0	3	en
652855012	1	261030007	End colostomy - stoma (body structure)	0	3	en
652889013	1	261060002	Body surface region (body structure)	0	3	en
654167013	1	262202000	Therapeutic - procedure intent (qualifier value)	0	3	en
654193018	0	262225004	Entire trunk (body structure)	0	3	en
654527016	0	262525000	Chest injury (disorder)	0	3	en
654597011	0	262587005	Superficial partial thickness burn (morphologic abnormality)	0	3	en
654598018	0	262588000	Deep partial thickness burn (morphologic abnormality)	0	3	en
655082013	0	263017003	Dislocation of joint of upper limb (disorder)	0	3	en
655088012	0	263021005	Anterior dislocation of shoulder joint (disorder)	0	3	en
655100018	0	263031003	Subluxation of joint (disorder)	0	3	en
655117013	0	263047001	Subluxation of joint of upper limb (disorder)	0	3	en
655122013	0	263051004	Subluxation of shoulder joint (disorder)	0	3	en
655319019	0	263225007	Fracture of proximal end of femur (disorder)	0	3	en
655630010	0	263502005	Clinical course (attribute)	0	3	en
655800016	0	263654008	Abnormal (qualifier value)	0	3	en
655855018	0	263703002	Changed status (qualifier value)	0	3	en
656497011	0	264274002	Endoscopic operation (procedure)	0	3	en
656635011	0	264395009	Microorganism (organism)	0	3	en
656856011	1	264585001	Colostomy - stoma (body structure)	0	3	en
656917016	0	264641009	Entire retrocecal appendix (body structure)	0	3	en
657041012	0	264752007	Grading values (qualifier value)	0	3	en
658696019	6	266228004	Essential hypertension NOS (disorder)	0	3	en
658763014	1	266287006	(Hypertensive disease) or (hypertension)	1	3	en
658847014	0	266361008	Non-allergic asthma (disorder)	0	3	en
658851011	6	266365004	Asthma NOS (disorder)	0	3	en
659443012	1	266894000	Family history: Cardiovascular disease (context-dependent category)	0	3	en
659447013	1	266898002	Family history: Respiratory disease (context-dependent category)	0	3	en
659557011	1	266995000	History of - cardiovascular disease (context-dependent category)	0	3	en
659606016	0	267038008	Edema (finding)	0	3	en
659679010	0	267102003	Sore throat symptom (finding)	0	3	en
659790013	6	267202005	Edema or excessive weight gain in pregnancy without mention of hypertension (disorder)	0	3	en
659907010	6	267307002	Hypertension of pregnancy NOS (disorder)	0	3	en
660608013	8	267930004	Joint contracture of the lower leg (disorder)	0	3	en
660609017	1	267931000	Joint contracture of the ankle and foot (disorder)	0	3	en
661259010	1	268509003	Cardiac disease monitoring (procedure)	0	3	en
661261018	1	268511007	Respiratory disease monitoring (procedure)	0	3	en
661367017	0	268607006	Hypertension risk level (observable entity)	0	3	en
661716018	1	268918008	On examination - edema (context-dependent category)	0	3	en
661769017	1	268966001	On examination - anesthesia present (context-dependent category)	0	3	en
661924016	0	269105005	Dislocation or subluxation of shoulder (disorder)	0	3	en
661928018	0	269108007	Closed traumatic dislocation shoulder joint, inferior (infra-glenoid) (disorder)	0	3	en
662340014	1	269475001	Malignant tumor of lymphoid hemopoietic and related tissue (disorder)	0	3	en
662615014	1	269722001	Adverse reaction to salicylates (finding)	0	3	en
662616010	1	269723006	Adverse reaction to antirheumatic (finding)	0	3	en
664068015	0	271650006	Diastolic blood pressure (observable entity)	0	3	en
664143019	0	271712005	Observation of sensation (finding)	0	3	en
664339013	1	271880003	On examination - specified examination findings (context-dependent category)	0	3	en
664584011	1	272099008	Descriptors (qualifier value)	0	3	en
664588014	0	272103003	Time patterns (qualifier value)	0	3	en
664613015	0	272125009	Priorities (qualifier value)	0	3	en
664630018	0	272141005	Severities (qualifier value)	0	3	en
664672017	0	272179000	Domestic, office and garden artefact (physical object)	0	3	en
664674016	1	272181003	Clinical equipment and devices (physical object)	0	3	en
664711010	1	115070006	Family pseudomonadaceae (organism)	0	3	en
664894011	1	272379006	Events (event)	0	3	en
664913017	0	272396007	Ranked categories (qualifier value)	0	3	en
664945010	0	272424004	Relative sites (qualifier value)	0	3	en
665052016	0	272519000	Absence findings (qualifier value)	0	3	en
665053014	0	272520006	Degree findings (qualifier value)	0	3	en
665112016	1	115107007	Family streptococcaceae (organism)	0	3	en
665153012	0	272608008	Invertebrate (organism)	1	3	en
665156016	0	272610005	Surface region of head (body structure)	0	3	en
665163016	0	272617008	Surface region of limb (body structure)	0	3	en
665172012	0	272625005	Entire body organ (body structure)	0	3	en
665173019	0	272626006	Respiratory organ (body structure)	0	3	en
665174013	0	272627002	Entire digestive organ (body structure)	0	3	en
665175014	0	272628007	Urogenital organ (body structure)	0	3	en
665177018	0	272629004	Urinary organ (body structure)	0	3	en
665178011	0	272630009	Entire female genital organ (body structure)	0	3	en
665179015	0	272631008	Abdominal organ (body structure)	0	3	en
665204015	0	272652000	Entire segment of left lung (body structure)	0	3	en
665207010	0	272655003	Entire lobe of left lung (body structure)	0	3	en
665231017	0	272673000	Bone structure (body structure)	0	3	en
665274019	0	272710004	Bone structure of thorax (body structure)	0	3	en
665292010	1	272725004	External stoma (body structure)	0	3	en
665301013	0	272734009	Object (attribute)	0	3	en
665306015	1	272738007	Site of (a-h) (attribute)	0	3	en
665309010	0	272741003	Laterality (attribute)	0	3	en
665661015	1	115166000	Kingdom Procaryote (organism)	1	3	en
665729013	0	115172000	Subclass Gram-Negative Aerobic Rods (organism)	1	3	en
665740017	0	115173005	Subclass Facultatively Anaerobic Gram Negative Rods (organism)	1	3	en
665872010	0	273249006	Assessment scales (assessment scale)	0	3	en
665989015	1	115195009	Division Firmicutes (organism)	1	3	en
665999013	0	115196005	Subclass Gram Positive Cocci (organism)	1	3	en
666732016	0	274025005	Colonic polypectomy (procedure)	0	3	en
666743012	0	274035004	Urinary calculus removal (procedure)	0	3	en
666774014	0	11527006	Arterial system structure (body structure)	0	3	en
666821014	6	274103002	Pneumonia NOS (disorder)	0	3	en
667067016	1	274323008	Colon biopsy:endoscopic (procedure)	0	3	en
667075010	0	274330002	Surgical biopsy (procedure)	0	3	en
667080018	1	274334006	Joint - surgical biopsy (procedure)	0	3	en
667106013	1	274357000	Surgical biopsy - urinary tract (procedure)	0	3	en
667135017	0	274383005	Aspiration - diagnostic (procedure)	0	3	en
667144016	1	274391001	Joint -diag.aspiration (procedure)	0	3	en
667177017	0	274423009	Drainage of bladder (procedure)	0	3	en
667178010	1	274424003	Indwelling catheter replaced (procedure)	0	3	en
667332013	0	274562003	Joint contraction absent (finding)	0	3	en
668374017	0	275498002	Respiratory tract infection (disorder)	0	3	en
668748013	1	275908000	Asthma monitoring (procedure)	0	3	en
668789011	1	275944005	Hypertension monitoring (procedure)	0	3	en
669090018	1	276201005	Bacterial infection due to Klebsiella pneumoniae	0	3	en
669129010	1	276239002	Therapy (regime/therapy)(procedure)	0	3	en
669167013	0	276272002	Catheter procedure (procedure)	0	3	en
669230012	0	276329005	Joint stability (observable entity)	0	3	en
669241014	1	276339004	Environments (environment)	0	3	en
669244018	0	276341003	Cardiovascular investigation (procedure)	0	3	en
669347011	0	276434005	Entire abdominal viscus (body structure)	0	3	en
669349014	0	276435006	Pain / sensation finding (finding)	0	3	en
669759013	0	276800000	Normality findings (qualifier value)	0	3	en
669855013	0	276885007	Core body temperature (observable entity)	0	3	en
669856014	0	276886008	Peripheral body temperature (observable entity)	0	3	en
670131011	0	277132007	Therapeutic procedure (procedure)	0	3	en
670321010	0	277302009	Natures (qualifier value)	0	3	en
670394014	0	277367001	Nature of procedure values (qualifier value)	0	3	en
670729014	0	115668003	Biological substance (substance)	0	3	en
670739015	0	115669006	Substance categorized by physical state (substance)	0	3	en
670780010	0	277712000	Cardiac internal structure (body structure)	0	3	en
671322011	0	278195005	Entire body system (body structure)	0	3	en
671324012	0	278197002	Entire respiratory system (body structure)	0	3	en
671325013	0	278198007	Entire cardiovascular system (body structure)	0	3	en
671399010	0	278264008	Surface region of trunk (body structure)	0	3	en
671515016	0	278368009	Segmental bronchus of left lung (body structure)	0	3	en
671526010	0	278378007	Segmental bronchus of left lower lobe (body structure)	0	3	en
671530013	0	278382009	Entire left lower lobe anterior segmental bronchus (body structure)	0	3	en
671533010	0	278384005	Entire left lower lobe posterior segmental bronchus (body structure)	0	3	en
671575011	0	278421003	Hormones and their metabolites and precursors (substance)	0	3	en
671605016	0	278448002	Care plan (qualifier value)	0	3	en
672051017	0	278844005	General clinical state (observable entity)	0	3	en
672069014	0	278858007	Entire musculoskeletal system (body structure)	0	3	en
672070010	0	278859004	Entire digestive system (body structure)	0	3	en
672073012	0	278861008	Entire genitourinary system (body structure)	0	3	en
672089010	0	278876000	Entire endocrine system (body structure)	0	3	en
672229019	0	279001004	Pain finding at anatomical site (finding)	0	3	en
672636010	0	279362001	Division of urinary tract (body structure)	0	3	en
672680010	0	279400008	Region of bladder (body structure)	0	3	en
672784011	1	279493001	Female bladder neck (body structure)	0	3	en
672792019	0	279500006	Urinary outflow structure (body structure)	0	3	en
672793012	0	279501005	Male urinary outflow structure (body structure)	0	3	en
672794018	0	279502003	Female urinary outflow structure (body structure)	0	3	en
673327010	0	279972009	Entire gastrointestinal tract (body structure)	0	3	en
673328017	0	279973004	Entire lower gastrointestinal tract (body structure)	0	3	en
673483012	0	280115004	Acquired body structure (body structure)	0	3	en
673498014	0	280128006	Disorder of soft tissue of body cavity (disorder)	0	3	en
673504018	0	280133005	Disorder of soft tissue of trunk (disorder)	0	3	en
673505017	0	280134004	Disorder of soft tissue of limb (disorder)	0	3	en
673507013	0	280136002	Disorder of soft tissue of lower limb (disorder)	0	3	en
673508015	0	280137006	Diabetic foot (disorder)	0	3	en
673842018	0	280435009	Joint structure of head and neck (body structure)	0	3	en
673844017	0	280436005	Regional joint structure (body structure)	0	3	en
673845016	0	280437001	Joint structure of thoracic wall (body structure)	0	3	en
673846015	0	280438006	Joint structure of pelvis or upper leg (body structure)	0	3	en
673847012	1	280439003	Joint structure of lower leg or tarsus (body structure)	0	3	en
673850010	0	280441002	Regional bone structure (body structure)	0	3	en
673857013	0	115986002	Domestic mammal (organism)	0	3	en
673964011	0	280542007	Body wall structure (body structure)	0	3	en
674008017	1	116003000	Immune system structure (body structure)	0	3	en
674018010	0	116004006	Hollow viscus (body structure)	0	3	en
674028018	0	116005007	Parenchymatous viscus (body structure)	0	3	en
674144012	1	280699007	Abdominal stoma (body structure)	0	3	en
674577019	0	281088000	Anorectal structure (body structure)	0	3	en
674658013	0	281157001	Systemic vascular structure (body structure)	0	3	en
674660010	0	281159003	Systemic arterial structure (body structure)	0	3	en
674743014	0	281231009	Vascular structure of head (body structure)	0	3	en
674744015	0	281232002	Vascular structure of head and neck (body structure)	0	3	en
674745019	0	281233007	Cardiovascular structure of trunk (body structure)	0	3	en
674752017	0	281239006	Exacerbation of asthma (disorder)	0	3	en
674754016	0	281241007	Musculoskeletal structure of head (body structure)	0	3	en
674755015	0	281242000	Musculoskeletal structure of limb (body structure)	0	3	en
674756019	0	281243005	Musculoskeletal structure of upper limb (body structure)	0	3	en
674757011	0	281244004	Musculoskeletal structure of lower limb (body structure)	0	3	en
674766010	0	281252001	Musculoskeletal structure of pelvis (body structure)	0	3	en
674767018	0	281253006	Musculoskeletal structure of head and neck (body structure)	0	3	en
674928016	0	281399006	Did not attend (finding)	0	3	en
674948011	0	281415003	Joint structure of shoulder girdle (body structure)	0	3	en
675005014	0	281467004	Intrathoracic cardiovascular structure (body structure)	0	3	en
675006010	0	281468009	Intrathoracic systemic artery (body structure)	0	3	en
675028010	0	281488008	Entire lower respiratory tract (body structure)	0	3	en
675043012	0	281501002	Intra-abdominal digestive structure (body structure)	0	3	en
675139011	0	281586009	Special atomic mapping values (qualifier value)	0	3	en
675156015	1	281600005	Intestinal stoma (body structure)	0	3	en
675208016	1	281647001	Adverse reactions (finding)	0	3	en
675229013	1	281666001	Family history of disorder (context-dependent category)	0	3	en
675259015	1	281691001	Physiological monitoring regimes (procedure)	0	3	en
675410017	0	281827007	Regional cardiovascular structure (body structure)	0	3	en
675416011	0	281832008	Entire auditory system (body structure)	0	3	en
675492012	0	281901006	Intra-abdominal urinary structure (body structure)	0	3	en
675496010	0	281904003	Pelvic cavity urinary structure (body structure)	0	3	en
675497018	0	281905002	Pelvic cavity male genital structure (body structure)	0	3	en
675498011	0	281906001	Pelvic cavity female genital structure (body structure)	0	3	en
675523010	0	116159008	Upper aerodigestive tract cytologic material (specimen)	0	3	en
675556011	0	281958007	Fracture alignments (morphologic abnormality)	0	3	en
675703012	0	116177003	Inhaled gas (substance)	0	3	en
675704018	0	282089006	Replacement - action (qualifier value)	0	3	en
675716012	1	282100009	Adverse reactions to substance (finding)	0	3	en
676043018	0	116208002	Abscess of wound (morphologic abnormality)	0	3	en
676059018	0	282408009	Recurrent subluxation of shoulder joint (disorder)	0	3	en
676208014	0	116223007	Complication (disorder)	0	3	en
676463017	0	282771003	Pelvic injury (disorder)	0	3	en
676746015	0	116273005	Dietary substance (substance)	0	3	en
676823011	0	116280007	Heterocyclic compound (substance)	0	3	en
677121018	0	116307009	Finding of upper limb (finding)	0	3	en
677131013	0	116308004	Finding of shoulder region (finding)	0	3	en
677178014	0	116312005	Finding of lower limb (finding)	0	3	en
677189019	0	116313000	Finding of hip region (finding)	0	3	en
677200010	0	116314006	Finding of knee region (finding)	0	3	en
677211019	0	116315007	Finding of ankle region (finding)	0	3	en
677222015	0	116316008	Finding of foot region (finding)	0	3	en
677468015	0	116338005	Pharyngeal finding (finding)	0	3	en
677781011	0	116367006	Psychological finding (finding)	0	3	en
677835019	0	284003005	Bone injury (disorder)	0	3	en
677967017	0	11639007	Puncture (morphologic abnormality)	0	3	en
678386018	0	284488007	Domestic artefact (physical object)	0	3	en
678422015	0	284521000	Pitting edema (finding)	0	3	en
678585018	0	284666000	Trophic life form (organism)	0	3	en
678586017	0	284667009	Heterotroph (organism)	0	3	en
679093015	0	285128009	Personal environment (environment)	0	3	en
679175018	0	285201006	Hospital environment (environment)	0	3	en
679615012	1	285592006	Personal care activities (qualifier value)	0	3	en
679717011	0	116566001	Steroid (substance)	0	3	en
679728010	0	116567005	Synthetic steroid (substance)	0	3	en
679747013	0	116569008	Synthetic glucocorticoid (substance)	0	3	en
679767016	0	116571008	Betamethasone (substance)	0	3	en
679911017	0	285854004	Emotion (observable entity)	0	3	en
680019018	1	116596006	Glucocorticoid preparation (substance)	0	3	en
680143017	0	116607003	Synthetic glucocorticoid, fluorinated (substance)	0	3	en
680685017	0	286558002	Ureteric stent (physical object)	0	3	en
680785012	0	286648007	Cystoscopic ureteric stent procedure (procedure)	0	3	en
680885015	0	286738000	Removal of urinary catheter (procedure)	0	3	en
680900014	0	116676008	Associated morphology (attribute)	0	3	en
680946014	0	116680003	Is a (attribute)	0	3	en
681010013	1	286850002	Personal hygiene activities (qualifier value)	0	3	en
681011012	1	286851003	Activities for washing and drying self (qualifier value)	0	3	en
681012017	1	286852005	Washing self (qualifier value)	0	3	en
681024012	0	286862003	Cystostomy tube (physical object)	0	3	en
681865013	1	287620002	Removal of bladder catheter	0	3	en
681961017	0	287708003	Transurethral bladder excision (procedure)	0	3	en
681983018	0	287728004	Open bladder diverticulectomy (procedure)	0	3	en
682301014	0	288013007	Open bladder excision (procedure)	0	3	en
682868012	0	288524001	Courses (qualifier value)	0	3	en
682870015	0	288526004	Episodicities (qualifier value)	0	3	en
682874012	0	288529006	Context values (qualifier value)	0	3	en
682876014	0	288531002	Finding status values (qualifier value)	0	3	en
682877017	0	288532009	Context values for actions (qualifier value)	0	3	en
682878010	0	288533004	Change values (qualifier value)	0	3	en
684392012	1	289896006	Menstrual problem (finding)	0	3	en
684464015	0	289960006	Musculoskeletal structure of thorax (body structure)	0	3	en
684533015	0	290019005	Non-metal elements and their compounds or derivatives (substance)	0	3	en
684957012	1	11705000	RNA virus (organism)	1	3	en
686780012	0	292040004	Analgesic adverse reaction (disorder)	0	3	en
686781011	0	292041000	Non-opioid analgesic adverse reaction (disorder)	0	3	en
686784015	0	292044008	Aspirin adverse reaction (disorder)	0	3	en
687342015	1	292548001	Drug groups primarily affect respiratory system adverse reac (disorder)	0	3	en
687414016	0	292614006	Xanthine adverse reaction (disorder)	0	3	en
687418018	0	292617004	Theophylline adverse reaction (disorder)	0	3	en
687419014	0	292618009	Bronchodilator preparations adverse reaction (disorder)	0	3	en
687477019	1	292670005	Drug groups primarily affect musculoskeletal sys advers reac (disorder)	0	3	en
688180012	0	293304001	Hematological agents adverse reaction (disorder)	0	3	en
688304012	1	293416008	Drug groups primarily affecting cardiovasc system adv react (disorder)	0	3	en
688346015	0	293453002	Diuretic adverse reaction (disorder)	0	3	en
691033011	0	117590005	Ear structure (body structure)	0	3	en
692531016	1	297223007	Divided colostomy stoma (body structure)	0	3	en
692583011	0	297268004	Ear, nose and throat finding (finding)	0	3	en
693320019	0	297935002	Upper female genital structure (body structure)	0	3	en
693559012	0	298145003	Joint absent (finding)	0	3	en
693596015	0	298179002	Finding of joint movement (finding)	0	3	en
693670012	0	298245005	Joint stable (finding)	0	3	en
693683013	0	298257001	Joint cool (finding)	0	3	en
693684019	0	298258006	Joint cold (finding)	0	3	en
693693018	0	298266002	Joint problem (finding)	0	3	en
693758018	0	298325004	Finding of movement (finding)	0	3	en
694180019	0	298705000	Finding of region of thorax (finding)	0	3	en
694249019	0	298767005	Finding of shoulder joint (finding)	0	3	en
694765017	0	299231009	Hip joint finding (finding)	0	3	en
694864010	0	299321000	Knee joint finding (finding)	0	3	en
695277018	0	299691001	Finding of blood, lymphatics and immune system (finding)	0	3	en
695307015	1	299717005	Carotid, cerebral and subclavian structures (body structure)	0	3	en
695601010	0	299979007	Organic nitrogen compound (substance)	0	3	en
695611015	0	299987008	Amides and derivatives (substance)	0	3	en
695634012	0	300007000	Screening for cardiovascular system disease (procedure)	0	3	en
695705014	0	300070004	Phenol and derivatives (substance)	0	3	en
695969011	0	300307005	Finding of appendix (finding)	0	3	en
696026010	0	300358007	Functional finding of gastrointestinal tract (finding)	0	3	en
696027018	0	300359004	Finding of vomiting (finding)	0	3	en
696043013	0	300373008	Finding of defecation (finding)	0	3	en
696556012	0	11810009	Operation on male genital system (procedure)	0	3	en
696573014	0	300848003	Mass of body structure (finding)	0	3	en
696579013	0	300853008	Mass of lymphoreticular structure (finding)	0	3	en
696850013	0	301095005	Cardiac finding (finding)	0	3	en
696851012	0	301096006	Finding of left ventricle (finding)	0	3	en
696899012	0	301139003	Systemic arterial finding (finding)	0	3	en
696951013	0	301186004	Upper respiratory tract finding (finding)	0	3	en
696996018	0	301226008	Lower respiratory tract finding (finding)	0	3	en
696999013	0	301229001	Bronchial finding (finding)	0	3	en
697001010	0	301230006	Lung finding (finding)	0	3	en
697076016	0	301296002	Mediastinal finding (finding)	0	3	en
697142010	0	301355003	Pain of respiratory structure (finding)	0	3	en
697149018	0	301362007	Pain of digestive structure (finding)	0	3	en
697153016	0	301365009	Pain of head and neck region (finding)	0	3	en
697246016	0	118168003	Specimen source morphology (attribute)	0	3	en
697253013	0	118169006	Specimen source topography (attribute)	0	3	en
697256017	0	301457005	Amines and their derivatives (substance)	0	3	en
697276011	0	118171006	Specimen procedure (attribute)	0	3	en
697434017	1	118185001	Pregnancy finding (finding)	0	3	en
697589016	0	118199002	Finding relating to sexuality and sexual activity (finding)	0	3	en
697651018	0	301810000	Infection by site (disorder)	0	3	en
697652013	0	301811001	Bacterial infection by site (disorder)	0	3	en
697704014	0	301857004	Finding of body region (finding)	0	3	en
697810018	0	118222006	General finding of observation of patient (finding)	0	3	en
697864015	0	118227000	Vital signs finding (finding)	0	3	en
697875016	0	118228005	Functional finding (finding)	0	3	en
697920010	0	118232004	Reproductive finding (finding)	0	3	en
697938013	0	118234003	Finding by site (finding)	0	3	en
697981011	0	118238000	Urogenital finding (finding)	0	3	en
698003011	0	118240005	Finding by method (finding)	0	3	en
698036012	0	302154007	Ankylosis of upper limb joint (disorder)	0	3	en
698052010	0	302168000	Inflammation of large intestine (disorder)	0	3	en
698086018	0	302199004	Examination - action (qualifier value)	0	3	en
698142013	0	118254002	Finding of head and neck region (finding)	0	3	en
698153019	1	118255001	Reproductive function (function)	0	3	en
698190018	0	302292003	Finding of trunk structure (finding)	0	3	en
698191019	0	302293008	Finding of limb structure (finding)	0	3	en
698418018	0	302508007	Entire colon (body structure)	0	3	en
698419014	0	302509004	Entire heart (body structure)	0	3	en
698420015	0	302510009	Entire thoracic aorta (body structure)	0	3	en
698422011	0	302512001	Entire bladder (body structure)	0	3	en
698449011	0	302536002	Entire joint (body structure)	0	3	en
698456017	0	302543008	Entire hip region (body structure)	0	3	en
698457014	0	302544002	Entire thigh (body structure)	0	3	en
698461015	0	302548004	Entire head (body structure)	0	3	en
698462010	0	118292001	Removal (procedure)	0	3	en
698463017	0	302549007	Entire face (body structure)	0	3	en
698464011	0	302550007	Entire neck (body structure)	0	3	en
698465012	0	302551006	Entire thorax (body structure)	0	3	en
698467016	0	302553009	Entire abdomen (body structure)	0	3	en
698799014	1	302727003	Salmonella group M phase 1 f-r (organism)	1	3	en
698802017	0	118436003	Finding of large intestine (finding)	0	3	en
698925015	0	302782007	Red blood cell color (observable entity)	0	3	en
699246011	0	303071001	Person in the family (person)	0	3	en
699256010	0	303080001	Entire joint of shoulder girdle (body structure)	0	3	en
699280014	0	303102005	Special disorder atoms (qualifier value)	0	3	en
699293016	0	303118004	Person in the healthcare environment (person)	0	3	en
699435011	1	303270005	Liver and biliary structure (body structure)	0	3	en
699513018	1	303340002	Face and neck structure (body structure)	0	3	en
699586016	0	303405004	Temporomandibular joint synovium (body structure)	0	3	en
699591015	0	303409005	Bladder and outflow structure (body structure)	0	3	en
699642018	1	303455007	Pelvic organ (body structure)	0	3	en
699695015	0	303503009	Musculoskeletal implant (physical object)	0	3	en
699712014	1	303518005	Female internal genital organ (body structure)	0	3	en
699713016	0	303519002	Pelvic alimentary structure (body structure)	0	3	en
699746010	0	303548008	Entire upper lobe of lung (body structure)	0	3	en
699747018	0	303549000	Entire lower lobe of lung (body structure)	0	3	en
699812018	1	303607000	Biomedical equipment, device (physical object)	0	3	en
699815016	0	303610007	Musculoskeletal prosthesis (physical object)	0	3	en
699826010	0	303620002	Urogenital device (physical object)	0	3	en
699832017	0	303624006	Musculoskeletal device (physical object)	0	3	en
699834016	0	303626008	Gastrointestinal device (physical object)	0	3	en
699862011	0	118633002	Artery of thorax (body structure)	0	3	en
699913012	0	303699009	Gastrointestinal tube (physical object)	0	3	en
700060012	0	118652008	Crypt of Lieberkühn (body structure)	0	3	en
700094014	0	118655005	Body part subdivision (body structure)	0	3	en
700176017	0	118664000	Procedure on body system (procedure)	0	3	en
700194011	0	118666003	Procedure on musculoskeletal system (procedure)	0	3	en
700210012	0	118668002	Procedure on articular system (procedure)	0	3	en
700247012	0	118672003	Procedure on cardiovascular system (procedure)	0	3	en
700258015	0	118673008	Procedure on digestive system (procedure)	0	3	en
700268013	0	118674002	Procedure on genitourinary system (procedure)	0	3	en
700288012	0	118676000	Procedure on male genital system (procedure)	0	3	en
700295015	0	118677009	Procedure on urinary system (procedure)	0	3	en
700320017	0	304061005	Vascular structure of neck (body structure)	0	3	en
700321018	0	304062003	Intrathoracic vascular structure (body structure)	0	3	en
700327019	0	304066000	Great vessel of thorax (body structure)	0	3	en
700414017	8	118689006	Procedure on body part (procedure)	0	3	en
700419010	0	304149004	Entire bone of extremity (body structure)	0	3	en
700464012	0	118694006	Procedure on trunk (procedure)	0	3	en
700505012	0	118698009	Procedure on abdomen (procedure)	0	3	en
700516017	0	118699001	Procedure on pelvis (procedure)	0	3	en
700564014	0	304275008	Corticosteroids and derivatives (substance)	0	3	en
700659015	0	304360003	Peptide hormones and their metabolites and precursors (substance)	0	3	en
700666019	0	304366009	Catecholamines and their derivatives (substance)	0	3	en
700678015	0	118717007	Procedure on organ (procedure)	0	3	en
700846014	0	304527002	Acute asthma (disorder)	0	3	en
700907011	1	304582006	Kidney and ureter structures (body structure)	0	3	en
700977010	0	118745001	Procedure on joint (procedure)	0	3	en
701029018	1	304692008	Bone structure of pelvic region and thigh (body structure)	0	3	en
701130014	0	304783003	Musculoskeletal structure of trunk (body structure)	0	3	en
701134017	0	118760003	Entire viscus (body structure)	0	3	en
701142016	0	118762006	Peritoneal sac structure (body structure)	0	3	en
701246010	0	304907005	Bone structure of hip (body structure)	0	3	en
701364017	0	305014001	Periarticular bone structure (body structure)	0	3	en
701369010	0	305018003	Periarticular bone structure of hip joint (body structure)	0	3	en
701411017	0	305056002	Admission procedure (procedure)	0	3	en
701413019	0	305058001	Patient encounter status (finding)	0	3	en
701430017	1	305072005	Breast and endocrine structures (body structure)	0	3	en
701622014	0	305335007	Admission to establishment (procedure)	0	3	en
701676014	0	118821005	Procedure on digestive organ (procedure)	0	3	en
701698017	0	118823008	Procedure on gallbladder (procedure)	0	3	en
701709010	0	118824002	Procedure on biliary tract (procedure)	0	3	en
701731019	0	118826000	Procedure on digestive tract (procedure)	0	3	en
701789013	0	118831003	Procedure on intestine (procedure)	0	3	en
701855018	0	118837004	Procedure on appendix (procedure)	0	3	en
701866013	0	118838009	Procedure on large intestine (procedure)	0	3	en
701877019	0	118839001	Procedure on colon (procedure)	0	3	en
702058017	0	118855008	Procedure on bladder (procedure)	0	3	en
702069019	0	118856009	Procedure on urethra (procedure)	0	3	en
702304017	0	118877007	Procedure on prostate (procedure)	0	3	en
702675010	0	11891009	Breath (substance)	0	3	en
702919012	1	118932009	Disease of foot (disorder)	0	3	en
702952018	1	118935006	Disease of hip (disorder)	0	3	en
702975013	1	118937003	Disease of lower extremity (disorder)	0	3	en
703043018	1	118943001	Disease of pelvis (disorder)	0	3	en
703054011	1	118944007	Disease of shoulder (disorder)	0	3	en
703076019	1	118946009	Disease of thorax (disorder)	0	3	en
703087010	1	118947000	Disease of upper extremity (disorder)	0	3	en
703098011	1	118948005	Disease of abdomen (disorder)	0	3	en
703119018	0	306687008	Lower bowel structures (body structure)	0	3	en
703144014	0	118952005	Joint finding (finding)	0	3	en
703153019	1	306717007	Prostatic and seminal vesicle structures (body structure)	0	3	en
703154013	0	118953000	Bone finding (finding)	0	3	en
703157018	8	306720004	Synovial structure (body structure)	0	3	en
703158011	1	306721000	Bone and joint structures (body structure)	0	3	en
703186015	0	118956008	Body structure, altered from its original anatomical structure (morphologic abnormality)	0	3	en
703219012	0	118959001	Removal from urinary tract (procedure)	0	3	en
